id,Marker,Dist,grp_idx,Group
1,D1Mit3,0,1,G1
2,D1Mit20,9.4,1,G1
3,D1Mit74,29.5,1,G1
4,D1Mit7,41.4,1,G1
5,D1Mit11,52.1,1,G1
6,D1Mit14,73.3,1,G1
7,D1Mit17,115.2,1,G1
8,D1Mit155,131.7,1,G1
9,D2Mit1,0,2,G2
10,D2Mit370,41.2,2,G2
11,D2Mit380,61.8,2,G2
12,D2Mit17,84.5,2,G2
13,D2Mit22,110.7,2,G2
14,D2Mit265,139.7,2,G2
15,D3Mit54,0,3,G3
16,D3Mit22,50,3,G3
17,D3Mit12,64.8,3,G3
18,D3Mit49,70.3,3,G3
19,D3Mit194,108.4,3,G3
20,D3Mit32,122.5,3,G3
21,D4Mit2,0,4,G4
22,D4Mit163,15.8,4,G4
23,D4Mit17,30.1,4,G4
24,D4Mit45,45.7,4,G4
25,D4Mit16,67.4,4,G4
26,D4Mit13,91,4,G4
27,D5MIT47,0,5,G5
28,D5MIT61,19.2,5,G5
29,D5MIT6,71.2,5,G5
30,D5MIT26,81.4,5,G5
31,D5MIT165,112.2,5,G5
32,D5MIT43,125.9,5,G5
33,D6Mit1,0,6,G6
34,D6Mit9,45.2,6,G6
35,D6Nds5,62,6,G6
36,D6Mit58,86.1,6,G6
37,D6Mit15,94.1,6,G6
38,D7MIT21,0,7,G7
39,D7MIT26,26.1,7,G7
40,D7Nds1,36.5,7,G7
41,D7MIT148,46,7,G7
42,D7MIT17,48.7,7,G7
43,D7MIT9,60.3,7,G7
44,D7MIT71,68,7,G7
45,D7MIT46,82,7,G7
46,D7Nds4,90,7,G7
47,D8Mit293,0,8,G8
48,D8Mit25,21.9,8,G8
49,D8MIT89,65.5,8,G8
50,D8MIT56,78,8,G8
51,D9MIT2,0,9,G9
52,D9MIT4,14.7,9,G9
53,D9MIT8,32,9,G9
54,D9MIT19,74.4,9,G9
55,D10Mit2,0,10,G10
56,D10Mit15,34,10,G10
57,D10Mit65,48.9,10,G10
58,D10Mit10,62.2,10,G10
59,D10Mit133,69.3,10,G10
60,D10Mit14,81.1,10,G10
61,D11Mit62,0,11,G11
62,D11Mit64,44.7,11,G11
63,D11Mit15,57.4,11,G11
64,D11Mit14,81,11,G11
65,D11Mit333,96.9,11,G11
66,D11Mit48,113,11,G11
67,D12MIT37,0,12,G12
68,D12MIT2,18.4,12,G12
69,D12MIT5,39,12,G12
70,D12MIT6,49.4,12,G12
71,D12NDS2,68.3,12,G12
72,D13Mit1,0,13,G13
73,D13Mit115,8.5,13,G13
74,D13Mit9,62.7,13,G13
75,D13Mit35,101.7,13,G13
76,D14Nds1,0,14,G14
77,D14Mit5,45.5,14,G14
78,D14MIT7,66.1,14,G14
79,D14Mit266,91.9,14,G14
80,D15Mit13,0,15,G15
81,D15Mit5,21.8,15,G15
82,D15Mit2,43.8,15,G15
83,D15Mit42,71.1,15,G15
84,D16Mit2,0,16,G16
85,D16Mit5,30.6,16,G16
86,D17Mit46,0,17,G17
87,D17Mit16,7.5,17,G17
88,D17Mit39,43.4,17,G17
89,D18Mit12,0,18,G18
90,D18Mit17,4.4,18,G18
91,D18Mit51,24.2,18,G18
92,D18Mit79,44,18,G18
93,D19Mit16,0,19,G19
94,D19Mit2,49.8,19,G19
95,D19Mit35,56.7,19,G19
96,D19Mit137,61.1,19,G19
