ID,WEEK1,WEEK2,WEEK3,WEEK4,WEEK5,WEEK6,WEEK7,WEEK8,WEEK9,WEEK10
55,3.788111,7.389223,10.843777,17.03489,21.65533,21.52456,23.58489,24.433,25.45111,27.52367
56,3.832556,7.861444,11.823779,19.00267,23.36533,25.87567,28.52711,29.75689,32.50111,33.94367
57,3.917,7.424778,9.447111,11.976,17.50533,21.44233,25.58267,28.91244,31.37889,34.38367
58,4.109333,8.043223,11.909667,17.29556,24.25145,25.95967,28.186,29.62078,32.78745,34.65355
59,4.420333,8.505889,13.53378,23.00044,27.99978,31.07678,35.35378,36.208,38.23778,40.80922
60,4.119333,8.186556,12.485223,17.06445,24.627,27.17078,28.48711,30.99078,33.713,34.93689
61,4.776,8.958778,14.22078,20.33,26.85033,29.723,32.31711,33.02855,36.34078,37.59689
62,3.668111,7.317,10.967111,18.756,24.58644,27.45234,31.83933,33.43134,36.92556,39.94922
63,3.862666,7.229889,11.660778,16.83444,22.45256,24.15744,26.66489,28.69856,30.69078,32.568
64,5.834889,9.244889,14.293,19.9,26.46033,29.04855,30.366,32.94078,34.58522,36.44911
65,5.529334,8.404610125,13.83078,18.64333,24.49811,27.42855,31.61822,31.15189,33.323,34.83022
66,5.685999,8.222944125,14.243,19.04111,25.57811,28.47744,29.97711,31.91522,34.28745,35.57911
67,6.856,10.1785,15.40745,21.73667,25.67144,27.43078,26.80044,27.66633,29.15744,31.13022
68,5.645333,8.713056,13.828,21.432,28.88878,32.64767,34.67289,37.16478,38.89311,41.05322
69,5.878111,8.977833125,13.966,19.74267,24.602,27.85122,30.08156,31.48022,32.97778,35.32256
70,5.946,9.19169425,14.33633,19.73667,23.16478,26.76189,27.93378,30.05078,31.77411,33.46022
71,5.902556,8.988666625,13.90489,22.05156,27.06422,30.69344,32.68822,34.83134,36.61334,37.38478
72,5.815889,8.809638125,13.68711,19.09267,25.04644,25.919,27.65933,29.78244,32.04,34.21922
73,5.590333,8.847555125,14.416,21.47934,25.54645,27.429,29.55156,31.48133,33.86222,35.42478
74,4.597,7.027833625,12.48711,19.28044,25.25089,29.70122,31.54933,34.17133,35.65666,37.90589
82,4.369556,7.930778,11.898,18.57678,24.51866,26.77767,28.04867,28.17555,29.75567,30.25755
83,4.714,9.339667,13.84022,20.82456,26.12978,29.74656,29.25645,30.97778,35.009,36.70755
84,4.404222,8.124333,12.79245,18.31367,24.38067,25.31467,27.46922,28.516,31.10589,32.79855
85,4.690889,7.967667,12.22578,16.54255,22.80067,24.54689,28.64144,29.23378,31.14589,32.94744
86,4.664222,8.482112,13.66689,20.00478,25.77289,29.66689,29.79589,29.99711,33.277,34.93634
