id,Marker,Dist,grp_idx,Group
1,TC/CAA-250R ,0,1,D1
2,TC/CGT-120  ,25.1,1,D1
3,CG/CTT-430  ,37,1,D1
4,CG/CTT-435  ,38.2,1,D1
5,CG/CTT-440R ,39.3,1,D1
6,TC/CCG-500  ,62.3,1,D1
7,GT/CTC-765R ,73.8,1,D1
8,TC/CCG-495R ,85.6,1,D1
9,W19-500R    ,116.2,1,D1
10,AY20-610R   ,141.3,1,D1
11,F19-410R    ,159.8,1,D1
12,B11-970R    ,166.5,1,D1
13,AG/CCG-480  ,178.2,1,D1
14,AG/CCG-550  ,179.4,1,D1
15,V17-1100    ,192.5,1,D1
16,B11-1600    ,0,2,D2
17,D5-2500     ,23.9,2,D2
18,D15-2500    ,41.2,2,D2
19,T17-2600    ,59.8,2,D2
20,AY20-2000   ,82.3,2,D2
21,Q7-2400     ,94.9,2,D2
22,AP5-2500D   ,109.9,2,D2
23,AI17-2000   ,130,2,D2
24,AI17-580R   ,157,2,D2
25,L13-800     ,174.5,2,D2
26,Q7-500      ,203.2,2,D2
27,C9-1100     ,232.4,2,D2
28,AT/CGC-465  ,0,3,D3_1
29,O13-950     ,24.2,3,D3_1
30,TC/CCT-580  ,29.8,3,D3_1
31,CA/CCA-580  ,51.7,3,D3_1
32,GT/CAT-795  ,59.2,3,D3_1
33,CG/CAA-245  ,61.9,3,D3_1
34,TC/CAC-490  ,64.6,3,D3_1
35,CG/CAA-235  ,65.7,3,D3_1
36,CG/CTT-560R ,65.7,3,D3_1
37,CG/CTT-570R ,67.9,3,D3_1
38,CT/CAG-350R ,76.2,3,D3_1
39,CT/CAG-505  ,92.2,3,D3_1
40,CA/CTG-830D ,120.6,3,D3_1
41,G17-910     ,0,4,D3_2
42,CT/CAG-325  ,20.3,4,D3_2
43,GC/CGC-830R ,27.4,4,D3_2
44,CT/CAG-340  ,30.8,4,D3_2
45,T6-880R     ,39,4,D3_2
46,CG/CCT-180  ,63.2,4,D3_2
47,CG/CCT-185  ,77.4,4,D3_2
48,ECAMCAG-320R,0,5,D4-1
49,ECTMCAG-775R,8.6,5,D4-1
50,EGCMCGT-520 ,20.6,5,D4-1
51,ECAMCGA-745 ,31.3,5,D4-1
52,EAGMCGA-395D,59.6,5,D4-1
53,CA/CCG-680D ,0,6,D4_2
54,AG/CGA-605R ,28.4,6,D4_2
55,GT/CAT-915  ,53.9,6,D4_2
56,TC/CAC-415R ,70.3,6,D4_2
57,TC/CAG-460D ,77.1,6,D4_2
58,CA/CAC-530  ,87.7,6,D4_2
59,GT/CTT-650  ,107,6,D4_2
60,AQ2-1220    ,0,7,D4_3
61,TT/CGA-395  ,17.9,7,D4_3
62,AG/CGA-405  ,26.8,7,D4_3
63,AG/CCG-470RD,37.7,7,D4_3
64,CA/CCA-905  ,0,8,D5
65,AA11-1000RD ,10.1,8,D5
66,CA/CAG-180  ,18.5,8,D5
67,CT/CAG-920  ,26.4,8,D5
68,GT/CAG-725  ,48.1,8,D5
69,GT/CAG-750R ,53.8,8,D5
70,TA/CGA-925R ,73.5,8,D5
71,GC/CCG-575R ,113.7,8,D5
72,CA/CGC-780R ,137.6,8,D5
73,TA/CGA-450  ,152,8,D5
74,TA/CGA-430  ,156.6,8,D5
75,TC/CAG-410  ,183.1,8,D5
76,TT/CCT-320R ,213,8,D5
77,CA/CCT-350D ,228,8,D5
78,CA/CCA-740D ,0,9,D6
79,CG/CCT-270  ,27.5,9,D6
80,CA/CCA-900R ,35.8,9,D6
81,K10-910     ,52,9,D6
82,CT/CAG-755R ,79.8,9,D6
83,CT/CAG-780R ,91.7,9,D6
84,GT/CTC-660  ,112.7,9,D6
85,GT/CTC-330  ,117.3,9,D6
86,GC/CTT-330  ,123,9,D6
87,CA/CGT-485  ,124.1,9,D6
88,AG/CCG-905R ,150.5,9,D6
89,CA/CCC-400  ,180.6,9,D6
90,R19-1750R   ,0,10,D7
91,CG/CAA-585R ,30.9,10,D7
92,TC/CCC-530R ,43,10,D7
93,AA/CGT-440  ,52.2,10,D7
94,AA/CGT-450  ,52.2,10,D7
95,AQ3-700D    ,65.1,10,D7
96,AZ13-500R   ,90.5,10,D7
97,TT/CGA-640R ,111.1,10,D7
98,TC/CAG-100R ,129.7,10,D7
99,AU3-850R    ,160.4,10,D7
100,CG/CGA-855R ,0,11,D8
101,P4-500R     ,22.2,11,D8
102,TA/CGG-630  ,33.4,11,D8
103,GT/CAG-540R ,52.9,11,D8
104,TT/CTT-820  ,66.6,11,D8
105,CC/CTC-590  ,70.1,11,D8
106,T8-700R     ,78.3,11,D8
107,CG/CGA-405R ,87.1,11,D8
108,H14-980     ,111.8,11,D8
109,TC/CCC-580  ,0,12,D9
110,CT/CAG-830R ,4.8,12,D9
111,TT/CTG-480RD,36.7,12,D9
112,AV14-900R   ,54,12,D9
113,E5-600      ,67.7,12,D9
114,T17-1700R   ,82.6,12,D9
115,Q9-1700R    ,85.9,12,D9
116,CG/CCT-655  ,93.6,12,D9
117,CG/CCT-620  ,95.1,12,D9
118,CA/CAG-660  ,117.7,12,D9
119,CA/CCC-640R ,0,13,D10
120,CG/CCC-825  ,33.1,13,D10
121,TT/CTT-475R ,46.7,13,D10
122,TC/CAA-540  ,59.9,13,D10
123,TC/CTG-750  ,66.7,13,D10
124,CG/CTC-530  ,81.6,13,D10
125,GC/CCG-175  ,101.2,13,D10
126,AM20-850R   ,112.1,13,D10
127,AQ2-590     ,0,14,D11
128,AG20-400    ,17.3,14,D11
129,CA/CCT-185R ,27.2,14,D11
130,GC/CCG-370  ,34.6,14,D11
131,GC/CCG-480  ,39.2,14,D11
132,AA/CGT-980  ,68.2,14,D11
133,TC/CGC-250R ,84.9,14,D11
134,CG/CTC-500D ,107,14,D11
135,AQ4-1600    ,123.2,14,D11
136,B5-600      ,124.3,14,D11
137,T3-1210R    ,130,14,D11
138,B6-900      ,130,14,D11
139,TC/CGA-400  ,135.8,14,D11
140,TA/CGA-760R ,138.4,14,D11
141,TA/CGA-755  ,138.4,14,D11
142,GC/CTC-720R ,144,14,D11
143,CG/CTT-360  ,158.6,14,D11
144,CG/CTT-350  ,158.6,14,D11
145,CC/CTA-580  ,163.1,14,D11
146,AA/CGT-720R ,169.8,14,D11
147,GC/CGT-455  ,181.2,14,D11
148,IS12-850R   ,200.3,14,D11
149,ECAMCGT-640R,0,15,D12
150,AA10-390R   ,11.3,15,D12
151,ETAMCGG-650R,19,15,D12
152,AP7-750     ,36.1,15,D12
153,ETCMCAC-440R,64.5,15,D12
154,ETCMCAG-415 ,73.5,15,D12
155,A12-950     ,111.1,15,D12
156,W4-750R     ,123.6,15,D12
157,AJ8-630     ,134.9,15,D12
158,AG19-690    ,145,15,D12
159,ETTMCTT-435R,166,15,D12
160,ETAMCGA-245R,181.3,15,D12
161,ECGMCAA-825R,192.3,15,D12
162,EAGMCCG-415 ,200.6,15,D12
163,EAGMCGA-175 ,202.2,15,D12
164,ECAMCCA-700 ,208.7,15,D12
165,ECAMCCA-680 ,209.9,15,D12
166,AP4-900     ,225.5,15,D12
167,ETTMCTG-445 ,233.4,15,D12
168,AG19-1100R  ,0,16,D13
169,CA/CCG-370  ,10.7,16,D13
170,CA/CCG-400  ,19.8,16,D13
171,AC/CCC-575R ,50.4,16,D13
172,E5-1500R    ,71.5,16,D13
173,CA/CCA-750R ,87.7,16,D13
174,T12-790     ,104.5,16,D13
175,CG/CTC-340  ,109.1,16,D13
176,TC/CTG-500  ,116.3,16,D13
177,TC/CCT-210R ,123.5,16,D13
178,TT/CGA-820R ,131.3,16,D13
179,TT/CGA-760R ,137.9,16,D13
180,D15-470R    ,156.3,16,D13
181,CT/CAG-760R ,164.6,16,D13
182,CT/CAG-740R ,166.9,16,D13
183,AA/CGT-510R ,186.3,16,D13
184,Mk01_17     ,188.6,16,D13
185,Mk01_18     ,209.2,16,D13
186,AC/CCC-830R ,0,17,D14
187,CG/CCT-395  ,12.7,17,D14
188,CG/CCT-370  ,18.3,17,D14
189,R7-350      ,48.4,17,D14
190,CT/CAG-870R ,68.5,17,D14
191,CC/CCT-225D ,75.3,17,D14
192,CA/CCT-340R ,84.3,17,D14
193,GT/CAG-660RD,90.4,17,D14
194,CC/CCT-570  ,109.7,17,D14
195,TC/CGA-540R ,134.1,17,D14
196,GT/CAG-770R ,150.7,17,D14
197,IS44-1100   ,180.7,17,D14
198,TT/CGA-670R ,205.2,17,D14
199,GT/CTT_830D ,0,18,D15
200,CA/CTG_245  ,24.1,18,D15
201,TA/CGA_455  ,33.2,18,D15
202,TC/CCG_380R ,42.3,18,D15
203,TT/CGT_640  ,49.2,18,D15
204,AA/CGT_690  ,79.9,18,D15
205,CG/CAG_470  ,84.7,18,D15
206,CG/CCA_460R ,89.2,18,D15
207,TC/CAG_440R ,109.1,18,D15
208,AA/CGT_670R ,114.7,18,D15
209,AA/CGT_650R ,114.7,18,D15
210,AV14_1500R  ,123.7,18,D15
211,TC/CAC_420  ,139.1,18,D15
212,AG/CCG_800R ,162.7,18,D15
213,TC/CGC_200  ,180.4,18,D15
214,TT/CTG_160  ,186.8,18,D15
215,A7_1350     ,198.8,18,D15
216,TA/CGA-825  ,0,19,D16
217,AG/CGC-780R ,20.4,19,D16
218,AG/CGC-755R ,25,19,D16
219,CC/CCT-460  ,49.9,19,D16
220,AV17-1250   ,63,19,D16
221,TC/CAG-405R ,74.7,19,D16
222,GT/CAT-265R ,83.6,19,D16
223,AG19-370    ,87.2,19,D16
224,TC/CTG-730  ,99.4,19,D16
225,TC/CTG-735  ,106.8,19,D16
226,TC/CTG-745R ,111.7,19,D16
227,TC/CTG-740R ,112.8,19,D16
228,AG/CTT-570  ,116.1,19,D16
229,AG/CTT-595  ,120.5,19,D16
230,CG/CTT-280  ,131.7,19,D16
231,CG/CAA-415R ,147.8,19,D16
232,IS3-400R    ,171.3,19,D16
233,IS45-150R   ,190.7,19,D16
234,Z5-680R     ,0,20,D17
235,A/15-620D   ,11.3,20,D17
236,V4-1500R    ,19.1,20,D17
237,C20-650R    ,28.1,20,D17
238,AG/CGA-480R ,36.4,20,D17
239,AG/CGA-330R ,38.7,20,D17
240,CA/CCG-820R ,64,20,D17
241,TC/CAG-350R ,68.6,20,D17
242,AC/CCC-230R ,75.5,20,D17
243,AG/CCG-660  ,98.5,20,D17
244,AG/CCG-715  ,103.3,20,D17
245,AG/CCG-690  ,107.9,20,D17
246,Y11-620R    ,114.9,20,D17
247,AI17-700    ,119.3,20,D17
248,TC/CCC-380R ,130.6,20,D17
249,TC/CCC-360R ,135,20,D17
250,IS25-290    ,162.2,20,D17
251,R11-1350R   ,0,21,D18
252,CC/CCT-670  ,12.8,21,D18
253,CT/CAG-735R ,44.4,21,D18
254,AV19-1100   ,56.3,21,D18
255,Q9-680R     ,69.5,21,D18
256,G16-1100R   ,76.3,21,D18
257,AG/CCT-340R ,86.6,21,D18
258,CC/CTA-320  ,91.2,21,D18
259,TA/CGA-840  ,102.6,21,D18
260,C18-640R    ,114.8,21,D18
261,AV6-620     ,120.3,21,D18
262,TA/CGA-790  ,124.9,21,D18
263,CG/CAA-655  ,144.1,21,D18
264,D10-310R    ,0,22,D19
265,AV7-1100R   ,6.7,22,D19
266,GC/CTT-835  ,20.5,22,D19
267,GT/CAG-205R ,42.2,22,D19
268,T6-750      ,55.4,22,D19
269,V1-980      ,84.2,22,D19
270,AC/CCC-685  ,109.2,22,D19
271,TA/CGA-650  ,119.7,22,D19
272,CG/CGA-355R ,131.1,22,D19
273,IS22-500R   ,147.2,22,D19
274,AG/CTT-145  ,178.4,22,D19
275,GC/CGC-470R ,183,22,D19
