Plant No,1 st Year,2nd Year,3rd year,4th Year,5th Year,6th Year,7th Year,8th Year,9th Year,10th Year,11th Year
1,1.3,4,8.4,12.4,16.5,19,20.3,21,21.6,23,24.2
2,2.4,6.3,11.6,14.2,18,20.1,23,24.5,25,25.5,25.8
3,1.1,3.8,8,11,14.5,16.5,19,20.1,20.7,21.7,22.2
4,0.7,2.1,6.9,11.2,15,20,24.2,26.7,28.1,28.4,28.5
5,1.9,3.7,5.8,9.7,13.5,17,20.2,21.8,23.1,24.2,24.7
6,1.9,5.7,10.5,14.8,18,22.1,25.6,27.4,29,30.2,30.6
7,1.6,3.1,7.5,12.2,16,20.1,22.7,26.2,27.8,28.1,28.4
8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,1.1,2.7,7.8,12.2,16,19.5,21.7,24,25.5,26.8,27.7
10,2.1,5.4,9.3,11.8,14.5,17,19.5,21,22.4,22.9,25.1
11,1,2.7,7,10.6,15,18,20.1,21,22,22.5,22.9
12,1.7,4.5,9.2,13.1,16,19,24,25.8,26.5,28.1,28.6
13,1.2,3.3,5.6,7.8,12,14.5,16.3,17.4,18.1,19.2,19.6
14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,1.1,3.2,6.9,10.4,13.5,14.5,15.6,16.2,16.9,17.5,17.9
16,0.9,2.6,5.9,9.4,13.5,15,17.5,20.1,21.3,22.1,23.2
17,1,3.1,7.2,11.2,15.1,18,19.5,20.5,21,21.7,22.6
18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,1.8,6.2,11.1,16,20.5,21.5,22.8,23.6,24,24.8,26.1
20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,1.3,3.5,6.8,10.7,15,17.7,21.1,23.6,24.9,25.3,25.5
22,0.9,2.5,5.6,9.4,13,17,21.1,25,27,27.4,27.7
23,2.7,4.6,9,12,13.5,16.5,17.5,18.7,19,20.8,21.2
24,0.7,3.1,6.6,9,12.5,16.5,21,23.2,25,25.3,25.5
25,1.3,4.5,9.1,11.1,13.5,16,19.5,21,21.5,22.3,22.9
26,1.5,5.3,8.9,13.2,17,21,22.1,24,25.1,25.5,27.3
27,0.5,2.4,4.2,8,11.1,13.5,15,15.9,16.5,17,17.2
